ID,Suppose16S_Post,SupposeSoil_Post,16S_Vignette_Post,Soil_Vignette_Post,OVERALL WORKSHOP RATING,OVERALL INVITED SPEAKER RATING,,Did you take this workshop remotely at Notre Dame?,How well did this workshop meet your needs?,Did you learn what you had hoped to learn from participating in this workshop?,Did your understanding of computational science change because of your participation in this workshop?,Would you recommend this workshop to your colleagues? ,Did you participate in EDAMAME remotely (e.g. teleconference)?,Please provide any comments or suggestions to the instructors for the improving the workshop. We value your feedback.,CommentCode1,CommentCode2,
1,"First I would need to determine how many individuals to sample, and how many reads I would need per sample to get the coverage I needed to answer my research questions, using a MiSeq run. I would first look at similar studies to see if I could find a rarefaction curve for this or a similar taxon. Since this is a non-model organism, it might be the first study of gut microbial communities for this species, and I would probably be more interested in the abundant taxa than the rare taxa, which would mean fewer reads per sample. 
After sequencing, I would check the quality of the sequences, and then use the mothur SOP to trim, define OTUs, and assign taxonomy. Deciding on how to define the OTUs would be one of the challenges. Then I would analyze alpha diversity and beta diversity and whatever other analyses were specific to my research question.","Two possible approaches: assembly-based analysis, or read-based/mapping methods. I'll be honest - I didn't pay quite as much attention to the metagenome analysis section of the workshop because I am working on amplicon analyses. But I know that I would first use digital normalization so that the samples were sequenced evenly. And then I would use Megahit to assemble the contigs, and metaBAT to bin them into taxa.  ",Answer,Answer,Very Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,THIS WAS GREAT,Positive,,
2,,,NoAnswer,NoAnswer,Very Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,"All the aspects are very well.
TAs were very helpful in all informal settings (answering questions, approaching the red flags, general logistics), but teaching could be a lit bit more formal to ensure everyone is one board and tagging alone.
PIs have been very generous and supportive of the class, including intervention to clarify concepts.
great job!!! thanks!!! ",Positive,TA,
3,,,NoAnswer,NoAnswer,Very Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,"The workshop is very comprehensive and we covered ALOT of very useful and great material. I was pretty much at zero with a lot of it prior to coming. More time to go through what we did each day, and apply it to our own data would have been useful, as this is when you really learn. I really enjoyed the guest speakers, but perhaps moving these to 5.00 and then having the evenings to try out data sets? or alternatively reducing the numbers of guest speakers..they were great but  something would have to be reduced to fit in more time getting familiar with what we were taught.",Positive,Beginner,Speakers
4,"Select gene target (preferably V4) and platform (Illumina MiSeq), include mock community and standard control
Make a workflow (trimming, form contigs, align contigs, make OTU table, assign taxonomy, use either mothur or Qiime)
Extra Information: Host DNA sequences to remove after sequencing
Challenges: How deep to sequence (how diverse is the gut microbial community?)","Trim reads (Trimmomatic), assemble contigs, bin contigs, assign taxonomy or ID target genes (MG-Rast or Xander).
Quality of data coming out is limited by DNA quality and sequencing quality going in.",Answer,Answer,Good,Good,,No,Very Well,Yes,Yes,Yes,No,"I think for future outreach, it would be cool if videos of the tutorials be posted on YouTube along with the tutorials on github. That way the course could reach more people and allow others to repeat lessons easily.
",Video,,
5,"deep sequencing. Probably there are many unknown taxa or taxa not available in a database. If the taxonomy is not a concern this wouldn't be a problem, but if it is maybe building your own database could be helpful.","Amplicon sequencing using miseq would be enough for taxonomic information, but this would not provide functional identification. In order to have that a metagenomics approach would be necessary.",Answer,Answer,Very Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,"I believe that more in depth lectures covering each topic (as the one for amplicon sequencing) before the computational part would make easier to understand and assimilate the content of the topics. The lectures given by TAs were good, but some of them were not as polished as the ones given by the main instructors. I think that doing a mock presentation beforehand among all of you would improve their lectures.
Thank you very much everyone!",Ordering,,
6,"Sequence multiple replicates, paired-end 251x251 V4 of 16S. Will use FastQC to evaluate quality, mothur to cluster and annotate. Distance matrix from mothur with metadata in R to establish correlations.","9 replicates from each experimental treatment. Khmer and trimmomatic and MetaG to clean up and get the DNA ready for assembly, megahit to assemble. Data still might miss rare members or genes, but less likely with 9 replicates. Functional genes of interest can be discovered within the data by local BLAST.",Answer,Answer,Very Good,Very Good,QIIME answer is not meaningful as I didn't take that part of the workshop. ,No,Very Well,Yes,Yes,Yes,No,"More work with amplicons and R would have been helpful, say on Friday. Instructors were all very helpful, especially Tracy working one-on-one with individuals at the end of the first week.",Morework,,
7,I would expect to face issues relating to annotation and aligning with a reference database since this type of enviroment is unique and likely harbours a unique community. So I would perform deeper reads on each sample at the expense of reducing sample number because I want to get more resolution of the individuals in each sample. I would also curate my own reference database because it would save alot of time instead of blasting it against everything. It would be good to have the database of a similar enviroment so I would know what type of bacteria to include. ,"I would calculate richness, evenness, and diversity indices between each soil type. I would then compare the two sample types to each other by doing pcoa , dissimilarity , and clustering analysis. I could also do a correlation analysis to see if the diversity difference between the two sample was due to environmental factors (distance, P and N levels, etc). The community in the dair cow pasture is likely very different than the one in the corn growing soil. Perhaps I would consider using MG-RAST.  ",Answer,Answer,Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,"I would have liked some more clarification on the chronological order of putting raw sequences through a workflow. Towards the end of the course, I become confused on the order of the tutorial. Maybe this will be cleared up more during the concept map session. 
",Morework,,
8,"I would obviously isolate the microbes and extract their DNA. I would sequence the V4 region and use mothur to check and align the genes. Since the worm has a unique digestive tract, it possible that at least some of OTUs present would not map to a reference database. Thus, I'd try to use an open reference form of clustering to match up the sequences that do have a good reference and use de novo clustering to cluster the remaining, unmatched sequences. I'd analyze the output using the vegan package in R.","Depends on your question! If I was looking at functional differences in the soil, perhaps in nitrogen cycling, I would assemble the metagenomes into contigs and annotate them to get an idea of the presence of the various components of the nitrogen cycle. If I was looking at more rare metabolic pathway, I might use Xander to specifically assembly around my gene of interest. The sensitivity of the sequencing is dependent on how many samples you put in each run. Genes and functions that are more common are more likely to show up.",Answer,Answer,Very Good,Very Good,"Wow! Not too often that you get to see Pat, Jim, and Rich all at the same workshop, not to mention all the other fantastic speakers we had! ",No,Very Well,Yes,Yes,Yes,No,"This was a great opportunity for me to learn something that I've been needing to learn for a while! I can't imagine having to learn all this on my own, it would have been much much more difficult. I really appreciate it!
One recommendation that I do have for the tutorials is running through the programs and the scripts first, THEN having us work through the tutorials on our own. I think this would do a better job of giving us an overview of what the program is doing and what it is capable of, rather than focusing on properly copying and pasting the code. Then we would be able to work through it more at our own pace. This is advantageous for those who have seen the programs before, since they can get all the overview at the beginning that they may not fully understand, then go ahead or help others, rather than having to wait at each step to see if there's any new information for them. It would also be helpful for those who have never seen the program to be able to focus just on what the program is doing, and not on completing the code.
You've put together a really good group of teachers, and the class is just the right size to facilitate familiarity and intimacy while still having a diverse crowd. Thanks so much!",Suggestion,,
9,"I would use amplicon 16S sequencing of the V3 region of the rRNA, per Pat Schloss's recommendation. I would use paired end illumina MiSeq to determine the taxonomic constituents of the gut microbiome. Using mothur I would process the raw sequence data, and then output an OTU table. I would export this OTU table into R, and create distance matrices that I would then use to determine the alpha and beta diversity (between worms). I would run a series of statistical analyses to answer given questions. I would expect to be challenged by the resolution of the reference databases in regards to how I can assign accurate taxonomy to the OTU's. ","The analysis would depend entirely upon the question. If I was studying carbon cycling between the two plots, I would use a paired amplicon and shotgun approach to assess taxonomic composition of fungi and bacteria and the genes that are present in the respective soils. 
For fungi and bacteria I would use seperate primers to amplify 28 S and 16S regions of the genome. After assessing the taxonomic composition of the respective communities, I would look to see what sorts of genes would make sense to be observed in a metagenomic analysis. Metagenomically speaking I would use FunGene as a reference library for my desired genes of interest that I would curate and bin against. I would also take contextual data for each plot and do enzyme analyses of the soil to determine how the genes are likely to be expressed given what I find in each plot. I would look for broad ecological differences, and not concern myself with small significance values given the problems with primer bias, annotation, reference library inadequacy, etc. ",Answer,Answer,Good,Very Good,,No,Very Well,Yes,Yes,Yes,No,It would help me if the various strategies we learned in the workshop were put more explicitly in a research context. Meaning that we started with a hypothesis we wanted to test and then walked through an entire analysis from sequencing on wards using all the different tricks an protocols we learned. That would help me better understand when and why I use shotgun metagenomics and with what other tools we learned about. It would help the ideas 'stick' in my head if I knew exactly in what scenarios I would be using ncbi databases etc. ,Research,,
10,Amplicon.  Challenges would be contamination and unmapped organisms.,Depends what the hypothesis is and funding limitations.  I would do 16S to identify who is there and possibly metagenomic.  ,Answer,Answer,Good,Good,"Most invited speaks were very good and complemented the course.  THE HPCC speaker did not provide information in the appropriate context for the students of the course.  As a biologist, I don't need to know how the HPCC is set up, I need to know what parameters I am allowed to use and what a run command looks like for the cluster.",No,Somewhat,Yes,Yes,Yes,No,"Most useful modules where those that the instructors explained what the code was doing and why we were doing it.  Some instructors clicked through their module and then asked ""did you do the command"" and then moved on and repeated without teaching the class what was happening.
General workshop suggestions:  Please have the workshop for only a week.  Scheduling several intense days up front followed by 4 half days of instruction is frusterating.",Useful,,
