ID,Suppose16S_pre,SupposeSoil_Pre,16S_Vignette_Pre,Soil_Vignette_Pre,AddlComments,CommCode1,CommCode2
1,"I'm not sure. I guess it depends on the digestive tract - probably would need to sample from different areas of the tract. Would need to control for a number of factors such as diet, reproductive status, and social interactions. But I don't know what to do after you've sampled it.",I don't know.,Answer,DontKnow,,,
2,,,No try,No try,I expect to learn substantially more about amplicon sequencing analyses ,LearnMore,
3,,,No try,No try,,NoAnswer,
4,,,No try,No try,"I wish to learn about the techniques and the intricacies of bioinformatic analysis, which, before this summer was a completely new field to me.",LearnMore,
5,Sequence a number of the variable regions to identify the best match for the worm.  Since it is a non-model worm it may be difficult to find a hundred percent match since it may include previously unknown sequences.,16S rRNA analysis could be run to identify the major groups of species present in both sets of samples.  Also functional group genes could be used to identify the different major processes going on in the soil.  ,Answer,Answer,,NoAnswer,
6,I would think that shotgun sequencing would be preferred over gene specific targeting due to the community being unique. One challenge I would expect to face is that there is may not be a good reference database to align sequences to. ,"I would try a shotgun sequencing approach, where I would focus on gene regions that would help distinguish OTUs down to species level (@ 98% similarity). I would create Bray-Curtis distance matrices to first look at how similar the communities are to one another using a mantel test. One of the problems I would expect to face, particularly if I was interested in fungi, would be an insufficient database to reference my libraries to. For functional identification in the past I have done individual lit reviews on blast queries. ",Answer,Answer,,NoAnswer,
7,No idea,No idea,DontKnow,DontKnow,I came to learn all those items listed here to improve capabilities of my research team,LearnMore,
8,"With a unique digestive tract, it is possible that some of the key players in the microbial community have not yet been sequenced, so there will not be much sequencing that could be used for comparison. Additionally, with such a specialized environment, 16S comparison would not identify specific metabolic capabilities, so even if one of the OTUs was closely related to a known organism, it is possible that it had specifically evolved to handle the unique diet. It would be useful to have some metagenomic sequencing on several of the samples as well.","I would assemble and annotate the genome to understand which organisms and genes are present. Not sure of the technical limitations of this, or the actual approach to doing it.",Answer,Answer,"I'm very new to the field of bioinformatics, but one of my main goals coming out of my PhD is to be comfortable with analyses that will aid in my studies on microbial ecology and biogeochemistry. I hope that this workshop will be a great jumpstart for that!",ComfortWithSkills,
9,"not sure of sequencing strategy, but only 16S may not be enough to identify the unique digestive tract as i know, 16S is good to find out the species of the organism. 
challenges: good quality sequencing data? 
additional resources needed: full genome sequence to get; unique gene related with the unique digestive tract needed? ","using python to analyze the data. 
expected to see that the growing corn farm has more organisms and functional genes to degrade the cellulose and dairy cow pasture has more organism n functional genes to decompose the dung of cow.
limitations: they may have many organisms in common; as the database is not specific for soil, i may not be able to identify all organism in samples ",Tries to answer,Answer,"To learn most common tools in bioinformatics study.. 
To get the rational thinking in bioinformatics and obtain the resources of bioinformatics for later self study.",LearnMore,LaterSelfStudy
10,"Extract DNA, amplify 16S DNA, use well described 16S (stick with V4-V5)
Challenges: Developing protocols to get good quality DNA, will likely need to curate own sequence database
Need to be able to remove any host DNA that amplified from the dataset (do this after sequencing)","There are only two research sites for comparison, multiple samples within each site give a measure of the variability within a single field. Since there are only two sites, you could do a t-test-like analysis. The two sites will differ greatly in their metagenomes due to the inputs (corn - likely more synthetic inputs, dairy cow- natural cow pie inputs) and dominant vegetation. 
For highly abundant microbes, the data may be could enough to compare at the genus level, but I think most differences would only be observable at the phylum-class level.",Answer,Answer,"This workshop will provide a working knowledge of how to approach and conduct metagenomic and amplicon based microbial ecology studies. It will tie together the information that I've learned so far, so that I can better apply the analyses to my own studies.",LearnMore,
11,"Upwards of 6 biological replicates for power analysis to ensure data are sufficient for question.
Similarity matrix in mothur or similar program.
Correlations with diet or other stressor, using PRIMER-E or similar statistics program.
Need HPCC.",Assembly of fragments. Lower abundance organisms may not be well represented. Genus might be as specific as I can get.,Answer,Answer,"I expect to be able to take a large dataset of illumina ribosomal amplicons and compare the microbial communities of the different sample set, as well as draw conclusions based on the correlations between the metadata and the community composition.",LearnMore,
12,"First questions would be about sampling strategies for obtaining nucleic acids from individuals of this worm. How many worms, where are they from, what diversity across worms might one expect? What have the worms to be sampled been eating?  In thinking about this, would consider aims of this project - are we looking to understand diversity of gut microbes? looking for novel species? etc. Next question would be about extraction strategies - both DNA and RNA? -- and dealing with potential biases resulting from the extraction process. Then would think about whether necessary to reduce host DNA signal in some way and how to do that. Then would think about strategy for library prep - costs vs need to get fine grain info from different samples etc. Would think about multiplexing strategies for Illumina, desired coverage etc. Would  run some tests before committing to further runs and deciding about whether using singles, paired ends, length etc.","Big issue: potential for pseudo-replication. Would want to redesign study so that took data from two plot types across SEVERAL farms, where each type of plot was represented at each farm.",Answer,Answer,,NoAnswer,
13,,,No try,No try,,NoAnswer,
14,I would sequence the samples as deep as I could because I don't know what to expect. One of the challenges would be that if it is an unknown organism probably the bacteria it harbors is also unknown. A good database or other studies involving animals with similar diet would be  helpful resources.,"I would do basic diversity analysis to compare richness, diversity etc and some multivariate analysis to compare differences in composition. I believe soil microbes are relatively well-known so I would expect a good sensitivity and specificity to taxonomic and functional sequence identification. However, I'm not sure if that would be enough to recognize differences between bacteria from both plots, so maybe a shotgun metagenomics would be a better approach. The limitations of the analysis are that they are just descriptive, there are no predictions and only evaluating diversity and composition, for example, will not say anything about functionality. Also, they would not be able to tell the main species that differ from both sites.",Answer,Answer,,NoAnswer,
15,"Sequence with Illumina paired-end reads and a fairly high depth of read (in millions).  The challenges would likely involve undescribed bacteria that are only seen in this worm, and potentially free-living bacteria that are incidental in the gut of this worm (depending on what its ""specialized diet"" is composed of).  This latter challenge may require a reference based OTU analysis, as de novo assignment would be inappropriate if free-living and symbiotic bacteria cannot be separated from the sequence data set.  As such, a quality reference data base would have to be obtained (possibly Green Genes, or Silva).","You would have to find away to assemble the genomes of different organisms, or to pull out specific reference gene regions from all genomes (like a region of the 16S gene).  The second approach would likely require very high depth of read to be effective.Once assemblies, or OTUs (based on reference region) were established differences could be essayed using alpha diversity metrics, or something like Bray-Curtis to measure comparative diversity.  A perManova could be used for hypothesis testing.",Answer,Answer,,NoAnswer,
16,"I would do 16S with PNA blockers to block sequencing for worm mitochondria.  Challenge would be that the microbes in the worm might not be in the databases (green genes, silva, etc) but you may be able to high level information. ",Technical challenge: PCR inhibitors in soil which can mostly be overcome with extraction hits.  Soil itself is highly diverse and it would be difficult to assign which genes came from which organism even with assembly. ,Answer,Answer,I have very little formal training in micro biome analysis.  I have used QIIME tutorials and published python notebooks to self-train.  It will be great to be in the same room with researchers who perform similar research.,BeinRoom,
17,"I think I would try and sample from numerous stages of the gut,  and using amplicon sequencing and some kind of quality filter, I would BLAST my sequences against a public database.  I might expect that some of the 16S sequences might not have exact matches given that the worm is a non-model organism.  I realize that in order to look at total abundance across the gut stages, I would have to normalize somehow but that that's the extent of my knowledge!","I would assemble the reads into contigs and map to publicly available databases of genomes.  I may have to use multiple databases if I'm looking at bacterial and fungal DNA, and I vaguely understand that this has its own set of challenges in terms of combining these analyses.  Again, I think that I would also have to normalize to read depth across my samples.",Answer,Answer,I'm really encouraged by the diversity of backgrounds and proficiency in the people around me and I'm excited to get started!,Diversity,Excited
18,"Samples:  if possible worm gut microbiome from different biogeography  (& generations if possible) plus environmental samples from where the worm comes/eats.
Can the gut be dissected/partitiioned to examine diversity along diggestive tract?
Sequencing strategy: n=5 for all samples, Illumina MiSeq F515-R806; Mothur analysis
Challenges: Sequence depth to ID common core microbiome if present
ID of tranitorty vs. core vs. environ aquired seqeuence (horizontal verses vertical transfer) 
Determining potential activity of specalised micro-organisms   - Relating 16S to Kegg","Limitations: two plots with one experimental treatment each on a single farm; 
replication is limited, thus limiting overall conclusions on the treatment of corn Vs cattle
 ",Answer,Answer,,NoAnswer,
19,I would use Illumina to sequence the 16s marker. Although sequences lengths are shorter compared to 454-pyrosequencing it can produce more reads resulting in higher coverage. Resources that would help with analysis  would be reference genomes.,"Sequences could be grouped according to composition of the sequence (e.g. G+C content) or by similarity to a reference genome. From soil samples, achieving sufficient sequence length and coverage may limit analysis. Depending on length of the read it may be possible to identify the sequences but at a high taxonomic level. ",Answer,Answer,,NoAnswer,
20,"16S rRNA illumina sequencing, as non-model organism the available database (e.g. greengenes, silva)on it might be reduced so I would not expect to be able to fully characterize this microbial community. I expect to find a number of unknown or unclassified sequences. Work with unknown sequences and try to classify them individually for example using Blast","Assuming soils from the two plots have similar properties (i.e. texture, pH, mineral composition), and that the main difference between them is due to management (corn vs pasture), I would attribute differences in taxonomic composition to this latter variable. I would use shotgun sequencing to target genomic DNA from the two communities, I would take replicate samples from the two plots to make sure what I would be finding is trully representative of each condition. In terms of taxomomic composition in such environments, I would expect to be able to characterize up to ~90 or so of the population as there could still be  organisms that are not present in the taxonomic database I am using. I do not have experience with functional gene sequencing, but I would expect to find a large presence of genes involved in the N, P, and C cycles as a results of the type of soils analyzing. ",Answer,Answer,Learn as much as I can about metagenomic analysis! ,LearnMore,
21,"Since it is a 16S marker analysis I would use Illumina sequencing in order to get sufficient depth.  Ideally I would like to have a similar worm that does not have this specialized diet to use as a comparative and I would look for community members that were different between the two (analyzed in either QIIME or mothur).  This search could be more informed by understanding the microbes that generally carry genes for the metabolic pathway in question (if known).  A major challenge would be that the strains carrying this pathways may have acquired them recently and therefore not be phylogenetically distinct.  Also, it may be a very small segment of the population that performs this highly specialized pathway and this would not be visible in the 16S analysis. ",For this analysis I would look at abundance of different functional groups as well as overall phylogenetic diversity.  I would expect very low sensitivity in the phylogenetic analysis since the 16S data is only a small portion of the overall sequencing effort.  For the functional analysis I would likely begin with the MG-RAST breakdown of functions and look for particular sub-groups that were different between the two sites. ,Answer,Answer,,NoAnswer,
22,"-I believe there is a set of 'universal' primers that are used in the literature for amplification of diverse 16S sequences.  I'd use those along with PCR, followed by illumina sequencing.
-Challenges would be in determining the specific microbial species in the gut community from 16S sequences, which is not always exact. 
-Additional resources would be a ribosomal sequence database that would help determine the taxonomy of the species in the sample.",#NAME?,Answer,No try,,NoAnswer,
23,"If it is a non model worm, then I would want to identify the members of the microbial community so I would not use a metagenomics approach. ","Could analyze by comparing the data to a known dataset and blasting against it, but then you would have limitations of only knowing what was already known in the dataset. 
Or you may have limitations because of PCR biases in your sequencing preparation techniques, in which only a portion of the microbial community is amplified correctly, and the rare members become lost in translation. ",Answer,Answer,Hoping to get a baseline level of information about pertinent topics in bioinformatics for my research purposes in order to proceed with my doctoral research.,BasicUnd,
24,"In terms of the sequencing strategy, it is important to consider the depth of coverage required to characterize the gut community of the non-model worm as well as a specific hypothesis you might have about how the communities between the model and non-model worm may differ. Specifically, think about if you need to consider rare microbes. In terms of challenges, since this is a non-model worm, you might want to also sequence the gut community of a model worm on the same specialized diet. I'm not sure what other resources you would need to do this other than information for comparing the model worm gut community and organisms typically found in worms (i.e., using BLAST).",I would start by identifying a hypothesis of how the corn vs pasture communities will differ. Then you can consider the depth you are interested in because soil communities are so diverse this is important. I would then try to assemble reads and try to pull out specific members or genes identified in the hypothesis. Technical limitations may include it being difficult to look for uncommon functional genes or organisms that are not characterized in typically used databases (i.e. BLAST).,Answer,Answer,I'm hoping to come out of here with a basic understanding of metagenomic sequencing tools so I can analyze data on my own and know where to look when I get stuck.,BasicUnd,
25,"The first step would be to identify the number of replicate worms needed to get the sample size needed for statistical power (might require 9-10 animals) to account for variability.  Then determining which 16S variable region (or regions) would be ideal for identifying the microbiota in the worm gut.  Then, then sequencing depth needed to capture the amount of diversity present.  Challenges might be obtaining enough or clean enough bacterial DNA (without host carryover) for good amplification and sequencing.  Depending on what the microbiota are that are present, another issue might be classifying the sequences based on a reference database.  One resource might be constructing a custom database for classifying.  Other resources needed are a way to analyze the raw sequences (QIIME or mothur), enough RAM and processors to run analyses, statistical, and visualization programs.  ","In this case, you would be comparing two treatment types on the soil, one with corn and the other dairy cow pasture.  Replicate soil samples from each type would be required to obtain statistical power and account for variability. Considering that metagenomic sequencing is much more intensive in terms of sequencing depth needed and data obtained, it might only be practical to get duplicate samples from each soil type.  Especially since soil is high in bacterial (and eukaryotic and viral) diversity, this type of study would require deeper sequencing than amplicon based sequencing.  The sensitivity will depend on the sequencing depth used and the specificity to taxonomic and functional sequence identification will depend on the methods used for metagenomic analysis.  i.e. how is assembly performed (how long the contigs/scaffolds are) and how well they match to existing databases.  The technical limitations will be that the data generated for metagenomic analyses are much greater and it will take much more computing power to process them.  ",Answer,Answer,"Specifically, I am really interested in learning how to statistically analyze my sequencing data sets and using R to visualize my dataset.  Overall, I'm hoping to come away from this workshop with a deep understanding of both front to end amplicon and metagenomic analysis that I can readily adapt in my own research and for publications. I expect to overcome many of the computational and statistical issues that I am currently encountering in the sequence analyses and have a feeling that I know exactly what I'm doing and the methods that I'm using are correct!  ",ComfortWithSkills,
26,"- Choose your sample type, i.e. fecal sample vs gut tissue sample
- Extract microbial DNA from sample
- Purification and amplification of microbial DNA (including PCR replicates)
- Assemble library 
- NGS of DNA sample (e.g. Ilumina Miseq)
- Would also perhaps want fecal/tissue samples from closely related worms for comparison
- Once data has been returned from the platform, need to remove singletons and chimeric reads for 'cleaner' data
- Maybe rarefy to even coverage (i.e. remove reads below a certain threshold)
- Subset against Phylum (for example) for greater resolution of data
** Potential limitations**
- Have you chosen the best variable region, i.e. V3?
- Have you chosen the best primers for amplification?",Unsure,Answer,No try,Coming in as almost a complete beginner.,Beginner,
27,"Analyis of 16S libraries of the worm in reference with phylogenetically related organisms and look for particular differences in the microbial community structure. 
I dont understand what you mean with ""additional resources"", bioinformatic resources or experimental resources? I have limited experience in additional bioinformatic resources as R-Statistics ",I would focus on the analysis of general diversity parameters to have an idea of the differences in taxonomic groups rerpresenting the two conditions. I have no experience at all in functional analysis.,Answer,Answer,"I do appreciatte being accepted in this workshop, I have big expectations since my experience in boinformatic tools is limited (for now)...",Beginner,
28,"- i would do a 16S sequencing. because the gut microbiota is usually very diverse i would try to use universally primers for prokaryots is the first step; i could also use more specific primers after i know what kind of phyla are more dominant then others; i would prepare the library at least in duplicate to be able to establish if the protocol is ok.  after obtaining a representative library, i would analyse the sequences with QIIME and USEARCH and than i would analyse as well the microbiota of close related organisms to see what is new and specific to this particular worm.","i would try to see how different distances may influence the grouping of samples. also, we can use anova based methods to see if there is a real difference between the samples groups. i would like to see what taxa lead to different grouping and also what functional genes have different abundances in the two groups.",Answer,Answer,,NoAnswer,
29,"I could proceed with amplicon-based sequencing targetting 16S rrna using Illumina MiSeq platform. Sequencing should include the mock communities (eg: known communities from the model worm) that served as baseline for comparative analyses as well as positive control to detect any sequencing error. Technical replicates can also be used for the error assessment purposes. To further explore the dataset, database like Greengenes, RDP can be utilized to obtain taxonomic information of comunnities harbored from the gut samples. ","Approach could go for taxon abundance and identification, or looking for functional potential of communities (to search for biological fxn). The sensitivity of analyses for the composition or taxonomic abundance, the research can focus on certain genes, however the comparison is bias since some bacteria might have several copies number for the particular genes. The specificity the functional seq identification, could also have some problem if some bacteria lacking the gene of interest. ",Answer,Answer,,NoAnswer,
30,"The first thing would be decide what kind of sequencing technique to use. Then, deciding what set of primers should be used for sequencing. I could use already designed primers or design them on my own. Once I had the data, merge reads, filter and assess quality of the sequences. Finally, I would need to choose the right database to explore the data set and identify the microbial community from the worm.","I expect to have different communities in each case, so the most important thing would be to choose the right database to explore the data set and identify the microbial community.",Answer,Answer,"I am really a beginner in this field. I do not have much expertise either in the design of experiments nor in the data analysis, but is a field that I would like to work on and improve.",Beginner,
31,"Collect samples, extract DNA, sequencing, analyzing, De novo assembly, Compresses dataset size significantly, Improved data quality (longer sequences better order)
Four main challenges for de novo sequencing,
",,Answer,No try,,NoAnswer,
