¥éËSupposeStory1,SupposeStory2,,Suggestions,
same as pre-survey,same as pre-survey,Same as pre,"I like the Stuart's approach. Start with intro, let us work on our data and then come back for summary/lecture. Allowing time for students to work through tutorials themselves would aide learning. ",
I think my answer is more or less the same as the original one at the beginning of the workshop. The main challenge in working with non-model systems are the limitation of databases to assign reads.,NA,Same as pre,"Workshop is perfect to avoid ""the hard way"" to learn bioinformatic analyses without a computing background (most of us I think). Lot of tips and useful information/criteria to analyze the data. Getting the right criteria is probably the most important thing.",Hard way 
NA,NA,No answer,Thank you all! Thank you Taylor for amazing organizing! Thanks to our TAs! Thanks for the USDA and NIH for funding!!!! ,TY
NA,NA,No answer,"The only comment I would recommend is to add one more day. After all the workshops, it would have been nice to have one day where we sit in the classroom and have the instructors and TA's walk around while we have dedicated time to work on our own projects. That way, if we hit a snag or have questions we can get advice from the many experts in the room. I know the goal this year was to make the workshop shorter (from 10 days to current) but I believe one more day to apply the knowledge we learned to our individual projects would be powerful. Perhaps come in on a Saturday (instead of a Sunday) and leave on a Saturday (which would allow that one more day).",Add day
"challenges: getting quality data , install mothur and get additional resources to help with the data after sequencing.
Install the right packages and R for the graphs. 
make sure the reads are good 
making sure the data makes sense at every step of manipulation 
","Approaches: assembled analysis or unassembled analysis or even based on target gene
limitations: In assembled analysis, need to go through additional steps
",Answer,"Great work by Adina! and the volunteers! This was a great opportunity to learn since I will need this for my research. 
I would also like to thank USDA for providing funding for room and board. 
A quick thanks to all the guest speakers 
A thank you to NIH for organizing this. 
This is certainly a workshop I would recommend to my colleagues. ",TY
"Using mothur: assemble and trim contigs. Trim ends. Remove chimeras. Group contigs. Import a reference database . Compare contig sequences to database sequences and assign OTUs. Compare non-model microbial community to model community.  Challenges include: working with a large data set, rarefying samples if uneven sampling occurred. ","After assigning OTUs for each sample site I would rarefy to the lowest abundance sample. Then use bray-curtis distances and probably an NMDS plot to visualize the differences between the two communities. I would do a permanova to statistically prove any significant difference between the two groups. Technical limitations include access to a ""good"" database and number and quality of the reads. ",Answer,"It would have been nice to do some work with qiime so we could maybe have a better personal understanding of both systems, but I understand the time constraint. I would also have liked to have a little more time to work individually with our own data. A phyloseq/vegan tutorial or overview might be nice in the future. I really liked hearing about the different work that the speakers were working on and having down-time to discuss our own research/problems between ourselves. The TA's were great! Thanks USDA/NIH. I would do this again or recommend it to others. I think the resources we now have will make future analyses much more streamlined and efficient. ",Time constraint
"I would use mothur to analyze the 16S rRNA gene markers from the non-model worm, but now I would know to use a de novo method for OTU assignment because it is unlikely these unique bacteria would be found in reference databases. I still see mitochondrial DNA being a challenge in this study, but I know now that mothur has a command for removing eukaryotic DNA that could help resolve this issue. ","To analyze the data I would use a similar approach to above (i.e. use mothur), but I would potentially use a soil database and assign OTUs based on reference genomes instead of de novo. I would cut off the specificity at 97%, but I would be careful not to call these bacterial species! This method limits the amount of functional data that can be obtained from the sequences, but you could still use the 16s data to determine the structure of the communities because the samples are evenly distributed. ",Answer,"My biggest fear in trying to repeat these steps on my own is that I will not know which part of the code to alter for my sequences in terms of file names (not parameters, as this was well covered). Therefore, it would be great if file names were highlighted in a different color in the code so it is easier to change what needs to be changed when we have to repeat the steps on our own. This might be impossible, but just a thought!",Suggest
"I would need to trim and clean up the read data (search for chimeras, primer ends) and then rarefy to adjust for sampling effort. It is likely that the organisms present in the unique digestive tract are not in current databases and, thus, it would be important to cluster our otu's with a denovo approach. If there is relatively low microbial biomass in the worms, it would also be good to have a control sample to isolate any DNA that is added due to extraction procedures that could, in turn, make the two worms seem more similar than they are. After de novo OTU clustering, we could use an external database (like NCBI) to group our reads by phylogeny. I would primarily use Mothur and R to analyze these data. ","In order to compare the metagenomes of these two soil types, it would first be important to make sure that there are quality reads in the metagenomes and sort the paired and unpaired sequence reads. If we wanted to have the most data to generate genome profiles, we could put the two soil treatments into the same dataset before running through our pipeline. With the metagenome data, we are able to identify differences in the microbial taxonomy between the two sites as well as the presence of functional genes in the two sites. However, it's important to keep in mind that the presence of the genes doesn't not mean that they are being up-regulated or functionally active. ",Answer,"Thank you for the great workshop! I'm really looking forward to use these resources to analyze my microbial dataset and to better understand which analyses and options I should use in testing and presenting my data. The plenary speakers were inspiring and provided relevant information on the current status and future for microbial ecology. I think it could have been helpful to have the Mothur workshop earlier in the week so that we could process our amplicon data and get help during ""open-hours."" Also, I think that having Saturday extended to have ""open hours"" (or another day?) would be a great way for people to try out the new methods we learned in a helpful environment! :) Thanks to the USDA and NIH for making this program possible! (and of course all the instructors and TAs!)","TY, Time "
"Using Illumina MiSeq, sequence at 250 bp depth multiple samples from multiple individual worm guts. A challenge is that this community is unique and probably isn't well represented in databases for reference communities. You will need additional databases to reference the OTUs to. There will also be challenges in the accuracy of the sequencing, which will need to be solved during quality control.","Bin the sequences into contigs and determine if there is a statistical difference in the contigs represented at each plot type using analysis such as ANOSIM or PERMANOVA. This will not be as sensitive to functional specificity, but will show taxonomic differences. A technical limitation is that there is only one farm, so this study cannot be extrapolated to other farms that have corn or dairy pastures. Another strategy could be finding sequences of a specific gene type, such as nitrogen fixation genes. Then, one can determine the diversity of nitrogen fixation genes found in each site to determine the functional diversity of the area. These can also be used to determine taxonomic diversity. This is an easier analysis, because it does not use all of the genetic information, which requires a lot of computational space. But, it also gets rid of potentially important information.",Answer,"It would be useful to structure the tutorials in a way that doesn't involve copy and paste. For example, put the source code for what needs to be run without the specific file names and parameters, so that we have to determine the best way to use that code. Then, put the answer at the bottom of the screen, to check if we are right or find the solution if we're lost. This is more like what we have to do when we search for new code and programs online, and it will allow for more critical thinking during the tutorials, which can get long if one already has a background in using the programs. I also would have liked a bit more instruction using QIIME, so that I can compare the workflow of the two programs. ",Suggest
"Same response as before, except I didn't think to mention the first time around: what is the question we're even asking here? Just ""I want to know what the community is like"" is not a valid question, so I would add that a ""challenge"" might also be somehow justifying sequencing for no reason whatsoever without having a question in mind for which sequencing is appropriate.","Also same response as before; i.e., issues with ""cow"" microbes vs. just soil ones and whether we want those included, etc. I don't feel that this course particularly shifted my opinion on either of these two answers.",Same as pre,"This course definitely met/exceeded my expectations. My lab group uses amplicon sequencing pretty much exclusively, so I was hoping to at least get an idea of how shotgun sequencing analysis was approached and used (check!) as well as review of using R for analysis (check!)---aside from a hurried vegan tutorial over a year ago, I've not had much practice doing this and have been (embarrassingly) relying on Primer as a crutch for data visualization. Additionally, practice using the shell outside of the usual workflow we use in our lab was useful for me, as well as exposure to using mothur and being able to compare and contrast this to usearch + QIIME (which we primarily use in my lab).
No one else in my immediate or collaborating lab groups has attended this workshop before, so I volunteered to come here on more or less a ""scouting"" basis to see if it would be a useful workshop to send other lab members to in the future. I definitely will be recommending it to others both within and outside of my lab group, because the breadth of topics and methods covered was impressive for a 5-day course, and the ability of the instructors and TAs to make things run so smoothly with such a diverse group of backgrounds and experience was impressive. That you are also able to offer a measure of financial support to cover the cost of room and board makes attending the workshop realistic for those who may not otherwise have been able to attend (myself included), and whom may not have otherwise had access to this type of guidance at their own institution. I definitely hope you guys continue to run this workshop for years to come, because it really represents a valuable asset to any field benefiting from the methodologies and philosophies of microbial ecology.",TY
