ï»¿SupposeStory1,SupposeStory2,Code,Suggestions
NA,NA,None,NA
NA,NA,None,NA
NA,NA,None,This was an amazing workshop and I can now take so much information back to my lab and work on my analyses. I now know what to look for for certain analyses and I now have a great network of microbial ecologists!
"I think shotgun metagenomics could be used for this. A lack of a reference database could be challenging, but I think a mock community could be used as a positive control. ",I am still a little confused about this. Sorry!,Not sure,I was able to attend this workshop because I received a fee waiver for room and board. Thank you! This workshop has provided me with a lot of skills I didn't even know I needed for my dissertation work. Thank you so much
NA,NA,None,NA
NA,NA,None,NA
NA,NA,None,NA
It might be difficult to obtain enough sequences from the gut of the worm- you may need to increase sequencing depth of the the 16s rRNA gene. Challenges include low sequence numbers and limited annotation in databases. You made to change your strategy for picking otus- to a denovo approach. ,Assuming you have similar sampling effort at each plot type and your data fits and your data meets the assumption of an underlying statistical distribution you could perform a PERMANOVA to look at treatment effects or use a non-parametric approach or a non-parametric approach like ANOSIM,Answer,THIS WAS AWESOME- in all respects!
"I would collect either stool samples or gut samples and send the DNA for 16s sequencing using illumina platform. Choosing which region of the 16s to target would be a challenge, however resources are available to help decide which region to targeting depending on the objective. I would use the community data to predict what percentage of the community is involved in the breakdown of the specific compounds in the data. There are available github repositories with computational workflows which i can follow to guide me in the analysis and answer the specific questions related to my research.","i would use statistical analyses to analyze the alpha and beta diversity of the two plots differently. I will look for changes in the community dynamic between the two plots as they would probably translate to different functions. I will try network analyses to see how microbial groups are connected to each other and how different they are connected between the two communities.
Challenges will be to determine how many samples will be enough to sequence deep enough. ",Answer,NA
Planning of the experiment to overcome the challenges inherent in the microbial community structure and sampling effor; get high quality data through amplicon sequencing; analyze the data properly in R/Python. ,"I would use different metrics (alpha/beta diversity; PERMANOVA, etc) to identify and model the relationships between the microbial community and environmental variables that could be potential drivers of the system; I'd also would be interested in knowing the functions/activities that those communities could be performing. The technical limitation may be the number of plots located on a single farm that could not be representative of the soil of the region I'm studying; this could be a big limitation and drawing conclusions with regard to the entire microbial structure of that particular region would be misleading.",Answer,The WS was awesome! The instructors and TAs were amazing at teaching! This WS will certainly take my career to a higher level of expertise in the field.
"I would isolate samples from the gut of this worm, as well as from the gut of reference samples. I would also be be sure to collect worms from various locations to ensure there was not sampling biases. I would also make sure to do my isolations and sequencing in duplicate. Some challenges I would face would be is to get full enough coverage in the metagenome from sequencing. Additional recourse that could be useful would be reference metagenomes from other worm species.","I would conduct both 16s rRNA gene sequencing and shot-gun sequencing, and compare the results. 16s rRNA sequencing would let me who's there, and shot-gun would give me more detail, such as the variation between strains, total genetic capacity. I would use PCoA to compare the 16s data after sample processing and normalization. With the shot gun data I would assemble it, annotate it, then PCoA. I would be limited by knowing who's active. If I wanted to know this I would so transcriptomics.",Answer,"This course has been the best use of my time. I feel so much more confident in my data analysis skills and have gotten so much out of the experience. I am sad that the course is over, and would like there to be an EDAMAME partII. I honestly cannot say enough positive things about this experience, I feel that this was the catalyst to really allow me to excel in my research."
