value,Year,PrePost
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Uncomfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Uncomfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Uncomfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Uncomfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Uncomfortable,2015,Post
Uncomfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Uncomfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Uncomfortable,2015,Post
Uncomfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Uncomfortable,2015,Post
Uncomfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Uncomfortable,2015,Post
Comfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Very Uncomfortable,2015,Post
Uncomfortable,2015,Post
Uncomfortable,2015,Post
Very Comfortable,2015,Post
Comfortable,2015,Post
Uncomfortable,2015,Post
Comfortable,2015,Post
Very Comfortable,2015,Post
