TimestampPre,NavtermPre,PythonScriptPre,AmazonE2Pre,InstallMothurPre,RunQIIMEPre,ExecRScriptPre,ChooseEcoStatPre,InstallAmazonE2Pre,AssembleMetaPre,UseGithubPre,RunBLASTPre,UseMGRASTPre,UseAPIPre,UnderstandCDPre,UnderstandPYPre,IlluminaDataPre,SumSequencePre,RunRPre,QIIMEvsMothurPre,BIOMFiles_NoPost,TwoMicrobialPre,CDpkgPre,StructureOTUPre,KnowKMERPre,KnowContigPre,KnowEC2Pre,KnowWithinsamplePre,KnowMetadataPre,KnowShotgunPre,KnowMetagenomeBinPre,KnowHPCCPre,KnowMetavsAssemPre,ExecuteShotgunPre,ExecuteAmpliconPre,InformedAmpliconQiimePre,InformedAmpliconMothurPre,DiffAssembledMetagenomicPre,LimitationsMetagenomicPre,AdvantageDisadvMetagemonicPre,UnderstandKmerPre,QualShotgunPre,RpgkAnalyzeDataPre,MoveDataIntoRPre,MoveFilesTerminalPre,EvalRawSequencePre,SearchPublicDatasetsPre,CannotShotgunWOHelpPre,CannotAmpliconWOHelpPre,CanCompleteLotofTimePre,CanCompleteMentorPre,CanOvercomeifStuckPre,CannotWOHelpPre,MinimizeLimitationsSequencingPre,UnderstandTechLimitationsPre,UnderstandMGRASTPre,UseGitPre,NavUnixPre,MakeE2KeyPre,InstallAuxSoftwarePre,UseFastQCPre,SumInfoSequenceFilesPre,CalcOTUPre,TrimSeqErrorsPre,AssembleMetagenomePre,BinMetagenomePre,DiffDataModelsPre,TestHypothesesPre,IDPublicSequenceDataPre,ObtainSeqfromMGRASTPre,SupposeStory1Pre,SupposeStory2Pre,Age,AcadStatus,Gender,Ethnicity,ExpectationsPre,AnonCodePre
2016/07/11 8:14:05 AM EST,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Low Ability,Low Ability,No Ability,No Ability,No Ability,Intermediate Ability,No Ability,No Ability,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Very Uncomfortable,Uncomfortable,Uncomfortable,I do not know what this is.,Comfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,I do not know what this is.,Comfortable,Uncomfortable,Uncomfortable,I do not know what this is.,"I'm not sure. I guess it depends on the digestive tract - probably would need to sample from different areas of the tract. Would need to control for a number of factors such as diet, reproductive status, and social interactions. But I don't know what to do after you've sampled it.",I don't know.,42,Ph.D.-holding Professional,Female,Caucasian/White,,CRG
2016/07/11 8:16:16 AM EST,Low Ability,No Ability,No Ability,Intermediate Ability,No Ability,Intermediate Ability,Low Ability,No Ability,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Uncomfortable,I do not know what this is.,I do not know what this is.,I do not know what this is.,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,I do not know what this is.,,,23,Graduate Student,Female,Asian/Asian American,I expect to learn substantially more about amplicon sequencing analyses ,775
2016/07/11 8:19:28 AM EST,No Ability,No Ability,No Ability,No Ability,No Ability,Intermediate Ability,No Ability,No Ability,No Ability,Low Ability,Intermediate Ability,No Ability,No Ability,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,Very Uncomfortable,,,30,Graduate Student,Female,Caucasian/White,,Abcd1
2016/07/11 8:19:47 AM EST,Low Ability,Low Ability,No Ability,Intermediate Ability,Low Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,I do not know what this is.,I do not know what this is.,Very Uncomfortable,Uncomfortable,Very Uncomfortable,,,19,Undergraduate Student,Male,Latino(a),"I wish to learn about the techniques and the intricacies of bioinformatic analysis, which, before this summer was a completely new field to me.",hgli1234
2016/07/11 8:20:32 AM EST,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Sequence a number of the variable regions to identify the best match for the worm.  Since it is a non-model worm it may be difficult to find a hundred percent match since it may include previously unknown sequences.,16S rRNA analysis could be run to identify the major groups of species present in both sets of samples.  Also functional group genes could be used to identify the different major processes going on in the soil.  ,27,Graduate Student,Female,Caucasian/White,,Mudhead5
2016/07/11 8:21:37 AM EST,Low Ability,No Ability,No Ability,Intermediate Ability,No Ability,Low Ability,Intermediate Ability,No Ability,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,I would think that shotgun sequencing would be preferred over gene specific targeting due to the community being unique. One challenge I would expect to face is that there is may not be a good reference database to align sequences to. ,"I would try a shotgun sequencing approach, where I would focus on gene regions that would help distinguish OTUs down to species level (@ 98% similarity). I would create Bray-Curtis distance matrices to first look at how similar the communities are to one another using a mantel test. One of the problems I would expect to face, particularly if I was interested in fungi, would be an insufficient database to reference my libraries to. For functional identification in the past I have done individual lit reviews on blast queries. ",30,Graduate Student,Male,Caucasian/White;Latino(a),,Btc17
2016/07/11 8:21:46 AM EST,Intermediate Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,No idea,No idea,47,Ph.D.-holding Professional,Male,Latino(a),I came to learn all those items listed here to improve capabilities of my research team,suagm2016
2016/07/11 8:24:20 AM EST,Low Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,Low Ability,No Ability,No Ability,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,I do not know what this is.,Very Uncomfortable,Very Uncomfortable,I do not know what this is.,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Uncomfortable,I do not know what this is.,"With a unique digestive tract, it is possible that some of the key players in the microbial community have not yet been sequenced, so there will not be much sequencing that could be used for comparison. Additionally, with such a specialized environment, 16S comparison would not identify specific metabolic capabilities, so even if one of the OTUs was closely related to a known organism, it is possible that it had specifically evolved to handle the unique diet. It would be useful to have some metagenomic sequencing on several of the samples as well.","I would assemble and annotate the genome to understand which organisms and genes are present. Not sure of the technical limitations of this, or the actual approach to doing it.",26,Graduate Student,Male,Caucasian/White,"I'm very new to the field of bioinformatics, but one of my main goals coming out of my PhD is to be comfortable with analyses that will aid in my studies on microbial ecology and biogeochemistry. I hope that this workshop will be a great jumpstart for that!",onionsonions
2016/07/11 8:24:42 AM EST,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Intermediate Ability,No Ability,No Ability,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,"not sure of sequencing strategy, but only 16S may not be enough to identify the unique digestive tract as i know, 16S is good to find out the species of the organism. 
challenges: good quality sequencing data? 
additional resources needed: full genome sequence to get; unique gene related with the unique digestive tract needed? ","using python to analyze the data. 
expected to see that the growing corn farm has more organisms and functional genes to degrade the cellulose and dairy cow pasture has more organism n functional genes to decompose the dung of cow.
limitations: they may have many organisms in common; as the database is not specific for soil, i may not be able to identify all organism in samples ",32,Graduate Student,Female,Asian/Asian American,"To learn most common tools in bioinformatics study.. 
To get the rational thinking in bioinformatics and obtain the resources of bioinformatics for later self study.",Anony
2016/07/11 8:25:15 AM EST,Low Ability,Low Ability,Low Ability,Intermediate Ability,Low Ability,Intermediate Ability,Low Ability,Low Ability,Low Ability,Low Ability,Low Ability,Low Ability,Low Ability,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,"Extract DNA, amplify 16S DNA, use well described 16S (stick with V4-V5)
Challenges: Developing protocols to get good quality DNA, will likely need to curate own sequence database
Need to be able to remove any host DNA that amplified from the dataset (do this after sequencing)","There are only two research sites for comparison, multiple samples within each site give a measure of the variability within a single field. Since there are only two sites, you could do a t-test-like analysis. The two sites will differ greatly in their metagenomes due to the inputs (corn - likely more synthetic inputs, dairy cow- natural cow pie inputs) and dominant vegetation. 
For highly abundant microbes, the data may be could enough to compare at the genus level, but I think most differences would only be observable at the phylum-class level.",29,Graduate Student,Female,Caucasian/White,"This workshop will provide a working knowledge of how to approach and conduct metagenomic and amplicon based microbial ecology studies. It will tie together the information that I've learned so far, so that I can better apply the analyses to my own studies.",BAT123
