"Timestamp","Developing a computing workflow","Navigating terminal","Using Amazon EC2","Installing and running mothur","Executing R scripts","Choosing ecological statistics to analyze microbial community data","Using software installed on an Amazon EC2 image","Assembling metagenomes and determining assembly quality","Running a local BLAST","Retrieving data from NCBI","I understand what “cd” means.","I know how to assess the quality of Illumina data.","I know the computational commands to summarize sequencing data in mothur","I know how to run R.","I can name at least two different microbial metagenome databases/repositories.","I know what an “R package” is.","I understand the structure of an OTU table.","I know what a “k-mer” is.","I know what a contig is.","I know how to start an EC2 instance.","I know the difference between within-sample (alpha) and comparative (beta) diversity.","I know how to use metadata to guide community analyses.","I know how to assemble shotgun metagenomic data.","I know how to map reads in metagenome analysis","I can independently execute the steps of microbial SHOTGUN metagenomic analysis from raw data processing to statistics. ","I can independently execute the steps of microbial AMPLICON metagenomic analysis from raw data processing to statistics. ","I can make informed choices for analysis parameters for AMPLICON analyses in mothur. ","I understand the differences between unassembled and assembled shotgun metagenomic data.","I understand the limitations of unassembled and assembled shotgun metagenomic data.","I understand what a k-mer is.","I can determine the quality of a shotgun metegenome assembly.","I can think through the steps of a sequencing analysis from start to finish.","I can use an R package to analyze data.","I can move data from at least one other program into R.","I can find and move files on a computer using terminal.","I can evaluate the quality of raw sequencing data.","I can start a remote session using tmux","I can visualize microbial sequencing data in R","I can search for public datasets that are relevant to my own project.","I CANNOT process and quality control SHOTGUN metagenome data unless someone else helps me get started.","I CANNOT process and quality control AMPLICON metagenome data unless someone else helps me get started.","I can complete an analysis project if I have a lot of time to complete the project.","I can complete an analysis project if I have just the help of my research mentor for assistance.","I can find ways of overcoming the problem if I get stuck at a point during data analysis.","I CANNOT complete a data analysis project unless I can call someone for help if I get stuck.","I understand how to design an experiment that minimizes limitations inherent to sequencing methods.","I understand the technical limitations of metagenome data.","Navigating around a Unix file system to view and manipulate files","Making and using a ""key"" for secure EC2 connection","Obtain summary information about sequence files (fasta, fna, fastq)","Calculating resemblance (e.g., similarity, dissimilarity, or distance) matrices from an OTU table","Trimming or filtering out errors from sequences by identifying low coverage kmers in high coverage areas","Assembling a metagenome","Differentiating data modes in R, including numeric, complex, logical, character modes","Testing hypotheses about differences in community structure across samples or sites","Identifying features of public sequence databases that are useful to your research","Suppose that you are doing a 16S rRNA gene marker analysis of the gut microbial community from a non-model worm.  This worm has a unique digestive tract evolved for the breakdown of a specialized diet.  Discuss a sequencing strategy, a number of challenges you expect to face, and what kinds of additional resources are needed to help explore your data set.","Suppose that you are using the Illumina platform to sequence total DNA from soil samples.  For this particular study, the soil samples come evenly distributed from two plot types on a single farm - one growing corn, the other dairy cow pasture. Discuss one or more approaches you would take to analyze the data, as well as your expected sensitivity and specificity to taxonomic and functional sequence identification. Include in your discussion the technical limitations of your analysis.","Please indicate your RATING of each aspect of the workshop:  Introduction to computing ","Please indicate your RATING of each aspect of the workshop:  Introduction to shell","Please indicate your RATING of each aspect of the workshop: EC2 usage","Please indicate your RATING of each aspect of the workshop: Local BLAST","Please indicate your RATING of each aspect of the workshop: Data visualization","Please indicate your RATING of each aspect of the workshop: shotgun metagenome analysis","Please indicate your RATING of each aspect of the workshop: remote sessions with tmux","Please indicate your RATING of each aspect of the workshop: diversity conceptual framework","Please indicate your RATING of each aspect of the workshop: ecological analysis in R","Please indicate your RATING of each aspect of the workshop: amplicon analysis in mothur","OVERALL RATING FOR SPEAKERS","OVERALL RATING FOR WORKSHOP","How well did this workshop meet your needs?","Did you learn what you hoped to have learned by participating in this workshop?","Would you recommend this workshop to your colleagues?","Please provide any comments or suggestions to the instructors for the improving the workshop. We value your feedback.","Please provide your anonymous code below (letters and/or number identifier that you generated during the pre-survey).  This will be used to match pre- and post-course surveys while protecting your anonymity."
"2018/06/30 10:40:22 AM AST","Intermediate Ability","High Ability","High Ability","High Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Low Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","","","Good","Good","Very good","Adequate","Good","Adequate","Good","Good","Adequate","Very good","Good","Very good","Very well","Yes","Yes","",""
"2018/06/30 10:40:59 AM AST","High Ability","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Intermediate Ability","High Ability","Low Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Very Comfortable","Very Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Very Comfortable","Very Comfortable","Very Comfortable","","","Very good","Very good","Very good","Good","Very good","Adequate","Good","Very good","Very good","Good","Good","Very good","Very well","Yes","Yes","",""
"2018/06/30 10:41:53 AM AST","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Low Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","","","Very good","Very good","Good","Good","Very good","Good","Good","Good","Very good","Good","Very good","Very good","Very well","Yes","Yes","This was an amazing workshop and I can now take so much information back to my lab and work on my analyses. I now know what to look for for certain analyses and I now have a great network of microbial ecologists!","AZR"
"2018/06/30 10:44:06 AM AST","Intermediate Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","High Ability","Intermediate Ability","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Comfortable","Very Comfortable","Very Comfortable","Comfortable","I think shotgun metagenomics could be used for this. A lack of a reference database could be challenging, but I think a mock community could be used as a positive control. ","I am still a little confused about this. Sorry!","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","I was able to attend this workshop because I received a fee waiver for room and board. Thank you! This workshop has provided me with a lot of skills I didn't even know I needed for my dissertation work. Thank you so much","W260213"
"2018/06/30 10:44:16 AM AST","High Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Comfortable","Comfortable","","Very Comfortable","Very Comfortable","","","Very good","Very good","Very good","Good","Very good","Very good","Very good","Very good","Very good","Good","Very good","Very good","Very well","Yes","Yes","","EDAMAME2018"
"2018/06/30 10:54:20 AM AST","Low Ability","Low Ability","Intermediate Ability","Low Ability","Low Ability","Low Ability","Low Ability","Low Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","","","Very good","Good","Very good","Good","Very good","Good","Very good","Good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","","EDAHELP18"
"2018/06/30 10:58:04 AM AST","Low Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Low Ability","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Agree","Disagree","Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Uncomfortable","Uncomfortable","Very Comfortable","Comfortable","Uncomfortable","","","Very good","Very good","Very good","Good","Good","Adequate","Very good","Adequate","Good","Adequate","Very good","Very good","Somewhat","Yes","Yes","","2418"
"2018/06/30 11:02:39 AM AST","Intermediate Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","It might be difficult to obtain enough sequences from the gut of the worm- you may need to increase sequencing depth of the the 16s rRNA gene. Challenges include low sequence numbers and limited annotation in databases. You made to change your strategy for picking otus- to a denovo approach. ","Assuming you have similar sampling effort at each plot type and your data fits and your data meets the assumption of an underlying statistical distribution you could perform a PERMANOVA to look at treatment effects or use a non-parametric approach or a non-parametric approach like ANOSIM","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","THIS WAS AWESOME- in all respects!","062690"
"2018/06/30 11:05:23 AM AST","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","","Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Comfortable","Very Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","I would collect either stool samples or gut samples and send the DNA for 16s sequencing using illumina platform. Choosing which region of the 16s to target would be a challenge, however resources are available to help decide which region to targeting depending on the objective. I would use the community data to predict what percentage of the community is involved in the breakdown of the specific compounds in the data. There are available github repositories with computational workflows which i can follow to guide me in the analysis and answer the specific questions related to my research.","i would use statistical analyses to analyze the alpha and beta diversity of the two plots differently. I will look for changes in the community dynamic between the two plots as they would probably translate to different functions. I will try network analyses to see how microbial groups are connected to each other and how different they are connected between the two communities.
Challenges will be to determine how many samples will be enough to sequence deep enough. ","Good","Adequate","Very good","Good","Very good","Good","Very good","Good","Very good","Very good","","Very good","Very well","Yes","Yes","","5555"
"2018/06/30 11:07:45 AM AST","Intermediate Ability","High Ability","High Ability","High Ability","Intermediate Ability","Intermediate Ability","High Ability","High Ability","High Ability","High Ability","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Planning of the experiment to overcome the challenges inherent in the microbial community structure and sampling effor; get high quality data through amplicon sequencing; analyze the data properly in R/Python. ","I would use different metrics (alpha/beta diversity; PERMANOVA, etc) to identify and model the relationships between the microbial community and environmental variables that could be potential drivers of the system; I'd also would be interested in knowing the functions/activities that those communities could be performing. The technical limitation may be the number of plots located on a single farm that could not be representative of the soil of the region I'm studying; this could be a big limitation and drawing conclusions with regard to the entire microbial structure of that particular region would be misleading.","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","The WS was awesome! The instructors and TAs were amazing at teaching! This WS will certainly take my career to a higher level of expertise in the field.","polite123"
