Timestamp,Navigating terminal,Executing Python scripts,Using Amazon EC2,Installing and running mothur,Running QIIME,Executing R scripts,Choosing ecological statistics to analyze microbial community data,Installing software on an Amazon EC2 image,Assembling metagenomes and determining assembly quality,Using GitHub for managing and sharing code,Running a local BLAST,Using MG-RAST for metagenomic data analysis,Using API to obtain sequences from MG-RAST,I understand what BLANK means.,I understand what .py signifies.,I know how to assess the quality of Illumina data.,I know the computational commands to summarize sequencing data.,I know how to run R.,I know the main differences in analyses offered by QIIME and mothur.,I am familiar with .biom formatted files.,I can name at least two different microbial metagenomic databases.,I know what a KMER is.,I understand the structure of an OTU table.,I know what a KMER is1,I know what a contig is.,I know how to start an EC2 instance.,I know the difference between within-sample and comparative diversity.,I know how to use metadata to guide community analyses.,I know how to assemble shotgun metagenomic data.,I know how to perform metagenome binning.,I know what an HPCC is,I know the difference between metagenome assembly and targeted gene assembly,I can independently execute the steps of microbial SHOTGUN metagenomic analysis from raw data processing to statistics. ,I can independently execute the steps of microbial AMPLICON metagenomic analysis from raw data processing to statistics. ,I can make informed choices for analysis parameters for AMPLICON analyses in QIIME.,I can make informed choices for analysis parameters for AMPLICON analyses in mothur. ,I understand the differences between unassembled and assembled shotgun metagenomic data.,I understand the limitations of unassembled and assembled shotgun metagenomic data.,I understand the advantage and limitation of metagenome binning. ,I understand what a k-mer is.,I can determine the quality of a shotgun metegenome assembly.,I can use an R package to analyze data.,I can move data from at least one other program into R.,I can find and move files on a computer using terminal.,I can evaluate the quality of raw sequencing data.,I can search for public datasets that are relevant to my own project.,I CANNOT process and quality control SHOTGUN metagenome data unless someone else helps me get started.,I CANNOT process and quality control AMPLICON metagenome data unless someone else helps me get started.,I can complete an analysis project if I have a lot of time to complete the project.,I can complete an analysis project if I have just the help of my research mentor for assistance.,I can find ways of overcoming the problem if I get stuck at a point during data analysis.,I CANNOT complete a data analysis project unless I can call someone for help if I get stuck.,I understand how to design an experiment that minimizes limitations inherent to sequencing methods.,I understand the technical limitations of metagenomic data.,I understand the adavantage and limitation of MG-RAST,"I can use basic Git commands:  push, pull, status, add, committ",Navigating around a Unix file system to view and manipulate files,"Making and using a ""key"" for secure EC2 connection",Installing axillary software on an Amazon EC2 instance,Using FastQC to assess the overall quality of raw sequencing data,"Obtain summary information about sequence files (fasta, fna, fastq)",Calculating resemblance matrices from an OTU table,Trimming or filtering out errors from sequences by identifying low coverage kmers in high coverage areas,Assembling a metagenome,Binning a metagenome,"Differentiating data modes in R, including numeric, complex, logical, character modes",Testing hypotheses about differences in community structure across samples or sites,Identifying features of public sequence databases that are useful to your research,Directly obtain metagenome sequences from MG-RAST using API,"Suppose that you are doing a 16S marker analysis of the gut microbial community from a non-model worm.  This worm has a unique digestive tract evolved for the breakdown of a specialized diet.  Discuss a sequencing strategy, a number of challenges you expect to face, and what kinds of additional resources are needed to help explore your data set.","Suppose that you are using the Illumina platform to sequence total DNA from soil samples.  For this particular study, the soil samples come evenly distributed from two plot types on a single farm - one growing corn, the other dairy cow pasture. Discuss one or more approaches you would take to analyze the data, as well as your expected sensitivity and specificity to taxonomic and functional sequence identification. Include in your discussion the technical limitations of your analysis.",What is your age?,What is your academic status?,What is your gender?,What is your ethnicity? CHOOSE ALL THAT APPLY,Please provide any additional comments about your expectations for the workshop below. ,Please provide an anonymous code (letters and/or numbers) below.  Please remember this code so that you can use it in the post-survey. This will be used to match pre- and post-course surveys while protecting your anonymity.
2016/07/11 8:14:05 AM EST,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Low Ability,Low Ability,No Ability,No Ability,No Ability,Intermediate Ability,No Ability,No Ability,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Very Uncomfortable,Uncomfortable,Uncomfortable,I do not know what this is.,Comfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,I do not know what this is.,Comfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Answer to question this is how I'd do this,I don't know.,24,Graduate Student,Female,Caucasian/White,,IGB
2016/07/11 8:16:16 AM EST,Low Ability,Low Ability,No Ability,Intermediate Ability,No Ability,Intermediate Ability,Low Ability,No Ability,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Uncomfortable,I do not know what this is.,I do not know what this is.,I do not know what this is.,Comfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,I do not know what this is.,Answering the question ,THIS IS TEXT ,42,Graduate Student,Male,Caucasian/White,I expect to learn substantially more about amplicon sequencing analyses ,RS
2016/07/11 8:19:28 AM EST,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,Intermediate Ability,Low Ability,Low Ability,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,I do not know what this is.,What I would do if I were answering the question,More answers to questions,31,Ph.D.-holding Professional,Female,Asian/Asian American,,12FG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
